all定位误差X-1,all定位误差Y-1,all定位误差X-2,all定位误差Y-2,all定位误差X-3,all定位误差Y-3,all定位误差X-4,all定位误差Y-4,all物件坐标X-1,all物件坐标Y-1,all物理坐标X-1,all物理坐标Y-1,catch定位误差X(移动到拍照位),catch定位误差Y(移动到拍照位),catch光栅反馈X(移动到拍照位),catch光栅反馈Y(移动到拍照位),视觉误差X,视觉误差Y,catch复拍物件坐标X,catch复拍物件坐标Y,catch复拍物理坐标X,catch复拍物理坐标Y,catchPLC坐标X,catchPLC坐标Y,catch定位误差X,catch定位误差Y,catch光栅反馈X,catch光栅反馈Y,releasePLC坐标X,releasePLC坐标Y,release定位误差X,release定位误差Y,release光栅反馈X,release光栅反馈Y,贴合误差X,贴合误差Y,release视觉坐标X(像素),release视觉坐标Y(像素)
-0.07529449462890625,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.0767974853515625,-0.010000228881835938,1476.026,1266.974,-2.526,17.748,0.664703369140625,-0.00499725341796875,105.5,120.6,24.1221923828125,-2.0043115615844727,1475.2,1267.605,-2.47,17.791,182.2,91.4,-0.3652992248535156,0.0050048828125,33.9,93.3,-50.4,-12.0,-8.860000610351562,7.62939453125e-06,-41.1,77.5,-16.0,-2.0,2174.0,839.0
-0.07529449462890625,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.0767974853515625,-0.010000228881835938,1834.854,1211.992,-26.593,13.963,-2.1447906494140625,-0.010000228881835938,232.8,28.5,22.044557571411133,3.776980400085449,1804.717,1212.012,-24.57,13.971,206.2,3.0,-2.5147857666015625,-1,208.8,3.0,-50.0,77.5,-8.900001525878906,-1,-41.1,77.5,-24.732666015625,1.8505859375,2165.267,842.851
-0.07529449462890625,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.0767974853515625,-0.010000228881835938,-1,-1,-1,-1,-6.696800231933594,-0.010000228881835938,119.6,28.5,-64.28755950927734,-8.316692352294922,876.526,1332.214,37.694,22.28,30.8,-5.3,-7.7967987060546875,4.76837158203125e-07,38.6,-5.3,-50.4,32.5,-9.580001831054688,-1,-40.8,32.5,-8.5,-53.5,2181.5,787.5
-0.11529541015625,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.164794921875,-0.010000228881835938,-0.11679840087890625,-0.010000228881835938,1586.651,1198.233,-9.927,13.093,0.724700927734375,-0.00499725341796875,105.5,120.6,19.867643356323242,-0.4036827087402344,1599.351,1198.175,-10.779,13.087,65.1,96.0,0.25469970703125,-0.00499725341796875,64.9,96.0,-50.0,122.8,-2.3199996948242188,7.62939453125e-06,-47.7,122.8,-9.0,-1.5,2181.0,839.5
-0.11529541015625,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.164794921875,-0.010000228881835938,-0.11679840087890625,-0.010000228881835938,1294.26,1217.543,9.694,14.461,2.555206298828125,-0.00499725341796875,228.1,120.6,-16.912567138671875,-1.3648443222045898,1334.604,1217.64,6.986,14.458,170.0,94.7,1.865203857421875,-0.00499725341796875,168.1,94.7,-50.0,77.5,-3.3400001525878906,-0.0099945068359375,-46.7,77.5,4.0,0.5,2194.0,841.5
-0.11529541015625,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.164794921875,-0.010000228881835938,-0.11679840087890625,-0.010000228881835938,1223.544,1116.827,14.478,7.694,-0.72479248046875,-0.010000228881835938,231.4,28.5,-5.359441757202148,6.752269744873047,1214.971,1117.011,15.054,7.709,165.2,9.3,-1.4048004150390625,-0.010000228881835938,166.6,9.3,-50.4,-12.0,-5.900001525878906,-0.010000228881835938,-44.5,-12.0,-19.5,-4.0,2170.5,837.0
-0.11529541015625,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.164794921875,-0.010000228881835938,-0.11679840087890625,-0.010000228881835938,1040.178,1092.401,26.796,6.092,-2.5968017578125,0.0,115.5,28.5,-14.798956871032715,1.6048402786254883,1003.223,1092.246,29.277,6.09,35.1,10.9,-3.6167945861816406,-1,38.8,10.9,-50.4,32.5,-5.260002136230469,-1,-45.1,32.5,-32.0,-15.5,2158.0,825.5
-0.0552978515625,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1584.894,1009.769,-9.74,0.401,-0.0552978515625,-0.00499725341796875,106.2,120.6,36.53510284423828,5.697101593017578,1584.882,1009.665,-9.739,0.394,64.9,108.7,-0.0552978515625,-0.00499725341796875,65.0,108.7,-50.0,122.8,-1.1599998474121094,7.62939453125e-06,-48.8,122.8,-7.448974609375,-0.7630615234375,2182.551,840.237
-0.0552978515625,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1693.009,1208.838,-17.07,13.783,5.3751983642578125,-0.00499725341796875,225.3,120.6,12.618770599365234,-13.305567741394043,1771.79,1207.975,-22.358,13.707,196.7,95.3,4.50518798828125,-0.00499725341796875,192.2,95.4,-50.0,77.5,0.9599990844726562,-0.0099945068359375,-51.0,77.5,42.24365234375,2.10272216796875,2232.244,843.103
-0.0552978515625,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,-1,-1,-1,-1,4.2552032470703125,-0.010000228881835938,226.4,28.5,-1,-1,-1,-1,-1,-1,204.4,4.5,3.4552001953125,4.76837158203125e-07,200.9,4.5,-50.4,32.5,-0.44000244140625,-1,-50.0,32.5,25.993896484375,1.0689697265625,2215.994,842.069
-0.0552978515625,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1089.574,1308.218,23.401,20.615,3.1832046508789062,-0.010000228881835938,109.8,28.5,-44.86035919189453,-8.092109680175781,1138.213,1308.434,20.136,20.618,38.5,-3.6,1.2631988525390625,-7.152557373046875e-07,37.3,-3.6,-50.4,-12.0,-0.34000396728515625,-0.010000228881835938,-50.1,-12.0,5.64990234375,0.65167236328125,2195.65,841.652
-0.09529876708984375,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.1447906494140625,-0.010000228881835938,-0.0968017578125,-0.010000228881835938,1630.888,1117.885,-12.867,7.672,1.224700927734375,-0.00499725341796875,105.0,120.6,37.61898422241211,12.926347732543945,1651.009,1118.195,-14.218,7.688,68.1,101.5,0.7147064208984375,-0.00499725341796875,67.3,101.5,-50.0,122.8,-1.1599998474121094,7.62939453125e-06,-48.8,122.8,-1.0,-1.5,2189.0,839.5
-0.09529876708984375,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.1447906494140625,-0.010000228881835938,-0.0968017578125,-0.010000228881835938,1299.466,1366.123,9.29,24.466,3.6352081298828125,-0.00499725341796875,227.0,120.6,-18.382675170898438,-16.760709762573242,1355.694,1365.82,5.516,24.433,170.4,84.7,2.3852081298828125,0.00499725341796875,168.0,84.7,-50.0,77.5,-0.5800018310546875,-0.0099945068359375,-49.4,77.5,16.0,1.0,2206.0,842.0
-0.09529876708984375,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.1447906494140625,-0.010000228881835938,-0.0968017578125,-0.010000228881835938,1231.147,1254.879,13.917,16.99,6.3552093505859375,-0.010000228881835938,224.3,28.5,1.8966894149780273,7.504447937011719,1328.328,1254.791,7.394,16.962,165.7,-1,5.27520751953125,-0.009999770671129227,160.5,-1,-50.4,-12.0,1.9199981689453125,-0.010000228881835938,-52.3,-12.0,47.0,9.5,2237.0,850.5
-0.09529876708984375,-0.00499725341796875,-0.1447906494140625,-0.00499725341796875,-0.1447906494140625,-0.010000228881835938,-0.0968017578125,-0.010000228881835938,820.039,1152.557,41.552,10.193,6.063201904296875,0.0,106.9,28.5,-21.508811950683594,6.795821189880371,911.294,1152.88,35.426,10.194,20.4,6.8,4.33320426940918,1.430511474609375e-06,16.1,6.8,-50.4,32.5,3.359996795654297,-1,-53.8,32.5,55.0,0.0,2245.0,841.0
-0.03530120849609375,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,821.366,1384.901,41.378,25.841,-0.07529449462890625,-0.00499725341796875,106.3,120.6,0.12914657592773438,-15.657432556152344,820.694,1385.05,41.423,25.851,13.8,83.3,-1.3952970504760742,-0.00499725341796875,15.2,83.3,-50.4,-12.0,-2.740001678466797,-0.010000228881835938,-47.7,-12.0,-21.425537109375,-2.1239013671875,2168.574,838.876
-0.03530120849609375,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,1387.722,1158.037,3.442,10.432,1.615203857421875,-0.00499725341796875,229.0,120.6,39.58027648925781,15.45488166809082,1412.222,1157.433,1.798,10.386,176.2,98.7,0.8751983642578125,-0.00499725341796875,175.3,98.7,-50.0,122.8,-4.720001220703125,7.62939453125e-06,-45.3,122.8,-4.715087890625,-2.27508544921875,2185.285,838.725
-0.03530120849609375,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,1472.348,993.798,-2.179,-0.648,-0.824798583984375,-0.010000228881835938,231.5,28.5,4.847146987915039,11.072742462158203,1460.825,993.872,-1.405,-0.641,181.8,17.7,-1.704803466796875,-0.010000228881835938,183.5,17.7,-50.0,77.5,-7.459999084472656,-1,-42.5,77.5,-21.0,1.9998779296875,2169.0,843.0
-0.03530120849609375,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,1511.268,1281.042,-4.897,18.688,-6.376800537109375,-0.010000228881835938,119.3,28.5,-3.470505475997925,-19.419479370117188,1419.076,1281.968,1.292,18.771,66.8,-1.7,-6.77679443359375,-0.01000058650970459,73.6,-1.7,-50.4,32.5,-9.240001678466797,-1,-41.2,32.5,-35.5,-70.5001220703125,2154.5,770.5
